,difficulty_rank,difficulty,arrayposition_mainVariableName,arrayposition_sub0,arrayposition_sub1,arrayposition_sub2,difficulty_mainVariableName,difficulty_sub0,difficulty_sub1,difficulty_sub2
0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
3,1.0,0.004524886877828055,0,0,0,1,0.0,0.0,0.0,0.08333333333333333
4,1.0,0.004524886877828055,0,0,0,1,0.0,0.0,0.0,0.08333333333333333
5,1.0,0.004524886877828055,0,0,0,1,0.0,0.0,0.0,0.08333333333333333
6,2.0,0.00904977375565611,0,0,1,1,0.0,0.0,0.08333333333333333,0.08333333333333333
7,2.0,0.00904977375565611,0,0,1,1,0.0,0.0,0.08333333333333333,0.08333333333333333
8,1.0,0.004524886877828055,0,0,0,1,0.0,0.0,0.0,0.08333333333333333
9,1.0,0.004524886877828055,0,0,0,1,0.0,0.0,0.0,0.08333333333333333
10,1.0,0.004524886877828055,0,0,0,1,0.0,0.0,0.0,0.08333333333333333
11,2.0,0.00904977375565611,0,0,1,1,0.0,0.0,0.08333333333333333,0.08333333333333333
12,2.0,0.00904977375565611,0,0,1,1,0.0,0.0,0.08333333333333333,0.08333333333333333
13,2.0,0.00904977375565611,0,0,1,1,0.0,0.0,0.08333333333333333,0.08333333333333333
14,3.0,0.013574660633484163,0,1,1,1,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
15,3.0,0.013574660633484163,0,1,1,1,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
16,3.0,0.013574660633484163,0,1,1,1,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
17,4.0,0.01809954751131222,0,2,1,1,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333
18,4.0,0.01809954751131222,0,2,1,1,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333
