,mainVariableName,sub0,sub1,sub2
0,0,1,1,0
1,0,1,1,1
2,0,0,1,0
3,1,0,0,0
4,1,1,1,0
5,1,1,1,0
6,0,0,0,0
7,0,1,0,1
8,0,0,2,1
9,2,1,0,0
10,2,1,0,1
11,2,1,1,0
12,2,0,1,1
13,2,0,2,0
14,2,2,0,1
15,1,0,1,1
16,1,0,0,1
17,1,2,1,2
18,1,1,0,2
19,1,2,2,2
20,1,2,2,1
21,0,2,0,2
22,0,2,0,1
23,0,3,1,2
24,2,2,2,2
25,2,0,2,0
26,2,3,3,2
27,1,0,3,2
28,1,3,3,3
29,1,3,4,3
30,2,3,3,3
31,2,4,0,2
32,2,0,4,3
33,0,2,2,0
34,0,2,3,3
35,0,3,0,3
36,2,2,4,2
37,2,4,1,4
38,2,5,2,3
39,0,4,2,3
40,0,3,0,1
41,0,3,2,4
42,0,2,3,2
43,0,2,4,4
44,0,4,4,5
45,1,3,0,3
46,1,2,2,4
47,1,3,3,4
48,1,4,3,5
49,1,2,4,5
50,1,4,5,1
51,2,3,3,2
52,2,5,5,2
53,2,2,4,0
54,0,4,3,5
55,0,5,4,6
56,0,5,3,6
57,2,5,5,4
58,2,4,6,3
59,2,4,6,3
60,3,1,0,1
61,3,1,0,1
62,3,0,1,1
63,3,0,1,0
64,3,1,1,0
65,3,0,1,2
66,3,2,2,0
67,3,2,2,2
68,3,3,0,3
69,1,5,3,6
70,1,3,4,4
71,1,2,3,5
72,2,6,1,5
73,2,6,7,1
74,2,6,5,5
75,1,5,5,6
76,1,6,5,4
77,1,4,6,1
78,2,7,6,5
79,2,7,7,6
80,2,3,7,4
81,0,6,1,5
82,0,3,5,5
83,0,6,5,4
84,0,1,0,4
85,0,6,5,7
86,0,4,4,6
87,1,6,3,6
88,1,7,2,3
89,1,7,4,3
90,3,3,3,3
91,3,4,3,2
92,3,2,2,3
93,0,5,4,5
94,0,7,6,7
95,0,7,6,2
96,1,8,1,6
97,1,3,0,7
98,1,6,6,7
99,2,6,8,2
100,2,0,8,1
101,2,2,9,5
102,2,8,9,5
103,2,4,8,0
104,2,8,3,4
105,2,8,9,5
106,2,9,6,5
107,2,9,9,2
108,2,2,1,3
109,2,8,6,5
110,2,9,1,5
111,3,4,3,4
112,3,4,0,2
113,3,5,4,0
114,2,7,6,5
115,2,3,6,1
116,2,2,5,2
117,2,8,1,5
118,2,2,1,0
119,2,9,1,0
120,2,2,1,5
121,2,8,1,5
122,2,8,1,5
123,2,9,9,0
124,2,8,5,6
125,2,2,6,4
126,1,4,5,8
127,1,2,0,1
128,1,7,0,8
129,2,8,6,7
130,2,5,6,7
131,2,7,6,7
