,Staircase-0,Zpdes-0
0,"[0, 0, 0, 0]","[0, 1, 1, 0]"
1,"[0, 0, 0, 0]","[0, 1, 1, 1]"
2,"[0, 0, 0, 0]","[0, 0, 1, 0]"
3,"[0, 0, 1, 0]","[1, 0, 0, 0]"
4,"[0, 0, 1, 0]","[1, 1, 1, 0]"
5,"[0, 0, 1, 0]","[1, 1, 1, 0]"
6,"[0, 1, 1, 0]","[0, 0, 0, 0]"
7,"[0, 1, 1, 0]","[0, 1, 0, 1]"
8,"[0, 1, 1, 0]","[0, 0, 2, 1]"
9,"[0, 1, 1, 1]","[2, 1, 0, 0]"
10,"[0, 1, 1, 1]","[2, 1, 0, 1]"
11,"[0, 1, 1, 1]","[2, 1, 1, 0]"
12,"[0, 1, 1, 2]","[2, 0, 1, 1]"
13,"[0, 1, 1, 2]","[2, 0, 2, 0]"
14,"[0, 1, 1, 2]","[2, 2, 0, 1]"
15,"[0, 2, 1, 2]","[1, 0, 1, 1]"
16,"[0, 2, 1, 2]","[1, 0, 0, 1]"
17,"[0, 2, 1, 2]","[1, 2, 1, 2]"
18,"[0, 2, 2, 2]","[1, 1, 0, 2]"
19,"[0, 2, 2, 2]","[1, 2, 2, 2]"
20,"[0, 2, 2, 2]","[1, 2, 2, 1]"
21,"[0, 2, 3, 2]","[0, 2, 0, 2]"
22,"[0, 2, 3, 2]","[0, 2, 0, 1]"
23,"[0, 2, 3, 2]","[0, 3, 1, 2]"
24,"[0, 3, 3, 2]","[2, 2, 2, 2]"
25,"[0, 3, 3, 2]","[2, 0, 2, 0]"
26,"[0, 3, 3, 2]","[2, 3, 3, 2]"
27,"[0, 3, 3, 3]","[1, 0, 3, 2]"
28,"[0, 3, 3, 3]","[1, 3, 3, 3]"
29,"[0, 3, 3, 3]","[1, 3, 4, 3]"
30,"[0, 3, 3, 4]","[2, 3, 3, 3]"
31,"[0, 3, 3, 4]","[2, 4, 0, 2]"
32,"[0, 3, 3, 4]","[2, 0, 4, 3]"
33,"[0, 3, 4, 4]","[0, 2, 2, 0]"
34,"[0, 3, 4, 4]","[0, 2, 3, 3]"
35,"[0, 3, 4, 4]","[0, 3, 0, 3]"
36,"[0, 4, 4, 4]","[2, 2, 4, 2]"
37,"[0, 4, 4, 4]","[2, 4, 1, 4]"
38,"[0, 4, 4, 4]","[2, 5, 2, 3]"
39,"[0, 4, 4, 5]","[0, 4, 2, 3]"
40,"[0, 4, 4, 5]","[0, 3, 0, 1]"
41,"[0, 4, 4, 5]","[0, 3, 2, 4]"
42,"[0, 4, 5, 5]","[0, 2, 3, 2]"
43,"[0, 4, 5, 5]","[0, 2, 4, 4]"
44,"[0, 4, 5, 5]","[0, 4, 4, 5]"
45,"[0, 5, 5, 5]","[1, 3, 0, 3]"
46,"[0, 5, 5, 5]","[1, 2, 2, 4]"
47,"[0, 5, 5, 5]","[1, 3, 3, 4]"
48,"[0, 6, 5, 5]","[1, 4, 3, 5]"
49,"[0, 6, 5, 5]","[1, 2, 4, 5]"
50,"[0, 6, 5, 5]","[1, 4, 5, 1]"
51,"[0, 6, 6, 5]","[2, 3, 3, 2]"
52,"[0, 6, 6, 5]","[2, 5, 5, 2]"
53,"[0, 6, 6, 5]","[2, 2, 4, 0]"
54,"[0, 6, 6, 6]","[0, 4, 3, 5]"
55,"[0, 6, 6, 6]","[0, 5, 4, 6]"
56,"[0, 6, 6, 6]","[0, 5, 3, 6]"
57,"[0, 6, 7, 6]","[2, 5, 5, 4]"
58,"[0, 6, 7, 6]","[2, 4, 6, 3]"
59,"[0, 6, 7, 6]","[2, 4, 6, 3]"
60,"[0, 6, 7, 7]","[3, 1, 0, 1]"
61,"[0, 6, 7, 7]","[3, 1, 0, 1]"
62,"[0, 6, 7, 7]","[3, 0, 1, 1]"
63,"[0, 7, 7, 7]","[3, 0, 1, 0]"
64,"[0, 7, 7, 7]","[3, 1, 1, 0]"
65,"[0, 7, 7, 7]","[3, 0, 1, 2]"
66,"[0, 7, 8, 7]","[3, 2, 2, 0]"
67,"[0, 7, 8, 7]","[3, 2, 2, 2]"
68,"[0, 7, 8, 7]","[3, 3, 0, 3]"
69,"[0, 8, 8, 7]","[1, 5, 3, 6]"
70,"[0, 8, 8, 7]","[1, 3, 4, 4]"
71,"[0, 8, 8, 7]","[1, 2, 3, 5]"
72,"[0, 8, 8, 8]","[2, 6, 1, 5]"
73,"[0, 8, 8, 8]","[2, 6, 7, 1]"
74,"[0, 8, 8, 8]","[2, 6, 5, 5]"
75,"[0, 9, 8, 8]","[1, 5, 5, 6]"
76,"[0, 9, 8, 8]","[1, 6, 5, 4]"
77,"[0, 9, 8, 8]","[1, 4, 6, 1]"
78,"[0, 9, 9, 8]","[2, 7, 6, 5]"
79,"[0, 9, 9, 8]","[2, 7, 7, 6]"
80,"[0, 9, 9, 8]","[2, 3, 7, 4]"
81,"[0, 9, 9, 9]","[0, 6, 1, 5]"
82,"[0, 9, 9, 9]","[0, 3, 5, 5]"
83,"[0, 9, 9, 9]","[0, 6, 5, 4]"
84,"[0, 9, 9, 10]","[0, 1, 0, 4]"
85,"[0, 9, 9, 10]","[0, 6, 5, 7]"
86,"[0, 9, 9, 10]","[0, 4, 4, 6]"
87,"[0, 9, 10, 10]","[1, 6, 3, 6]"
88,"[0, 9, 10, 10]","[1, 7, 2, 3]"
89,"[0, 9, 10, 10]","[1, 7, 4, 3]"
90,"[0, 10, 10, 10]","[3, 3, 3, 3]"
91,"[0, 10, 10, 10]","[3, 4, 3, 2]"
92,"[0, 10, 10, 10]","[3, 2, 2, 3]"
93,"[0, 10, 11, 10]","[0, 5, 4, 5]"
94,"[0, 10, 11, 10]","[0, 7, 6, 7]"
95,"[0, 10, 11, 10]","[0, 7, 6, 2]"
96,"[0, 10, 11, 11]","[1, 8, 1, 6]"
97,"[0, 10, 11, 11]","[1, 3, 0, 7]"
98,"[0, 10, 11, 11]","[1, 6, 6, 7]"
99,"[0, 11, 11, 11]","[2, 6, 8, 2]"
100,"[0, 11, 11, 11]","[2, 0, 8, 1]"
101,"[0, 11, 11, 11]","[2, 2, 9, 5]"
102,"[0, 11, 12, 11]","[2, 8, 9, 5]"
103,"[0, 11, 12, 11]","[2, 4, 8, 0]"
104,"[0, 11, 12, 11]","[2, 8, 3, 4]"
105,"[0, 11, 12, 12]","[2, 8, 9, 5]"
106,"[0, 11, 12, 12]","[2, 9, 6, 5]"
107,"[0, 11, 12, 12]","[2, 9, 9, 2]"
108,"[0, 12, 12, 12]","[2, 2, 1, 3]"
109,"[0, 12, 12, 12]","[2, 8, 6, 5]"
110,"[0, 12, 12, 12]","[2, 9, 1, 5]"
111,"[1, 0, 0, 0]","[3, 4, 3, 4]"
112,"[1, 0, 0, 0]","[3, 4, 0, 2]"
113,"[1, 0, 0, 0]","[3, 5, 4, 0]"
114,"[1, 1, 0, 0]","[2, 7, 6, 5]"
115,"[1, 1, 0, 0]","[2, 3, 6, 1]"
116,"[1, 1, 0, 0]","[2, 2, 5, 2]"
117,"[1, 1, 0, 1]","[2, 8, 1, 5]"
118,"[1, 1, 0, 1]","[2, 2, 1, 0]"
119,"[1, 1, 0, 1]","[2, 9, 1, 0]"
120,"[1, 1, 1, 1]","[2, 2, 1, 5]"
121,"[1, 1, 1, 1]","[2, 8, 1, 5]"
122,"[1, 1, 1, 1]","[2, 8, 1, 5]"
123,"[1, 1, 1, 2]","[2, 9, 9, 0]"
124,"[1, 1, 1, 2]","[2, 8, 5, 6]"
125,"[1, 1, 1, 2]","[2, 2, 6, 4]"
126,"[1, 1, 2, 2]","[1, 4, 5, 8]"
127,"[1, 1, 2, 2]","[1, 2, 0, 1]"
128,"[1, 1, 2, 2]","[1, 7, 0, 8]"
129,"[1, 2, 2, 2]","[2, 8, 6, 7]"
130,"[1, 2, 2, 2]","[2, 5, 6, 7]"
131,"[1, 2, 2, 2]","[2, 7, 6, 7]"
132,"[1, 2, 2, 3]","[2, 2, 8, 2]"
133,"[1, 2, 2, 3]","[2, 4, 4, 0]"
134,"[1, 2, 2, 3]","[2, 8, 9, 1]"
135,"[1, 3, 2, 3]","[2, 2, 9, 6]"
136,"[1, 3, 2, 3]","[2, 8, 6, 7]"
137,"[1, 3, 2, 3]","[2, 4, 9, 6]"
138,"[1, 3, 3, 3]","[2, 3, 4, 7]"
139,"[1, 3, 3, 3]","[2, 7, 6, 8]"
140,"[1, 3, 3, 3]","[2, 4, 8, 6]"
141,"[1, 3, 4, 3]","[2, 4, 2, 0]"
142,"[1, 3, 4, 3]","[2, 6, 1, 5]"
143,"[1, 3, 4, 3]","[2, 4, 3, 8]"
144,"[1, 3, 4, 4]","[2, 4, 6, 5]"
145,"[1, 3, 4, 4]","[2, 4, 6, 4]"
146,"[1, 3, 4, 4]","[2, 2, 6, 3]"
147,"[1, 4, 4, 4]","[2, 4, 1, 0]"
148,"[1, 4, 4, 4]","[2, 8, 1, 7]"
149,"[1, 4, 4, 4]","[2, 4, 1, 9]"
150,"[1, 4, 5, 4]","[2, 8, 9, 5]"
151,"[1, 4, 5, 4]","[2, 8, 1, 3]"
152,"[1, 4, 5, 4]","[2, 8, 2, 7]"
153,"[1, 5, 5, 4]","[2, 8, 2, 8]"
154,"[1, 5, 5, 4]","[2, 5, 4, 0]"
155,"[1, 5, 5, 4]","[2, 8, 1, 9]"
156,"[1, 5, 5, 5]","[2, 6, 1, 2]"
157,"[1, 5, 5, 5]","[2, 2, 8, 4]"
158,"[1, 5, 5, 5]","[2, 1, 1, 9]"
159,"[1, 5, 6, 5]","[2, 8, 1, 7]"
160,"[1, 5, 6, 5]","[2, 0, 6, 9]"
161,"[1, 5, 6, 5]","[2, 8, 7, 5]"
162,"[1, 5, 6, 6]","[0, 5, 1, 8]"
163,"[1, 5, 6, 6]","[0, 7, 7, 2]"
164,"[1, 5, 6, 6]","[0, 3, 5, 3]"
165,"[1, 6, 6, 6]","[2, 5, 6, 4]"
166,"[1, 6, 6, 6]","[2, 1, 6, 0]"
167,"[1, 6, 6, 6]","[2, 8, 6, 2]"
168,"[1, 6, 7, 6]","[1, 5, 4, 7]"
169,"[1, 6, 7, 6]","[1, 4, 7, 8]"
170,"[1, 6, 7, 6]","[1, 8, 7, 7]"
171,"[1, 7, 7, 6]","[2, 8, 1, 1]"
172,"[1, 7, 7, 6]","[2, 4, 9, 0]"
173,"[1, 7, 7, 6]","[2, 9, 10, 6]"
174,"[1, 7, 7, 7]","[2, 1, 1, 5]"
175,"[1, 7, 7, 7]","[2, 0, 2, 5]"
176,"[1, 7, 7, 7]","[2, 1, 8, 1]"
177,"[1, 8, 7, 7]","[1, 3, 8, 4]"
178,"[1, 8, 7, 7]","[1, 7, 8, 2]"
179,"[1, 8, 7, 7]","[1, 9, 8, 0]"
180,"[1, 8, 8, 7]","[1, 1, 8, 9]"
181,"[1, 8, 8, 7]","[1, 1, 8, 1]"
182,"[1, 8, 8, 7]","[1, 1, 8, 0]"
183,"[1, 8, 8, 8]","[1, 1, 9, 4]"
184,"[1, 8, 8, 8]","[1, 0, 1, 9]"
185,"[1, 8, 8, 8]","[1, 5, 9, 1]"
186,"[1, 9, 8, 8]","[1, 5, 8, 5]"
187,"[1, 9, 8, 8]","[1, 6, 4, 0]"
188,"[1, 9, 8, 8]","[1, 2, 1, 0]"
189,"[1, 9, 9, 8]","[2, 7, 6, 6]"
190,"[1, 9, 9, 8]","[2, 1, 1, 2]"
191,"[1, 9, 9, 8]","[2, 5, 10, 8]"
192,"[1, 9, 9, 9]","[2, 9, 1, 4]"
193,"[1, 9, 9, 9]","[2, 1, 1, 1]"
